Lisbon,38.72,17,564657
Madrid,40.4,18,3141991
Rome,41.9,18,2879215
Paris,48.87,13,2244000
Valletta,35.88,20,6315
London,51.5,15, 8787892
Athens,37.98,17,721477
Brussels,50.83,13,1080790
Berlin,52.51,10,3520000
Amsterdam,52.35,13,740094
Warsaw,52.25,2,1706724
Moscow,55.75,-1,11541000
Oslo,59.91,-5,575475
Helsinki,60.17,0,596661
Stockholm,59.33,2,770284
Reykjavik,64.15,1,11500
Copenhagen,55.66,10,1231166
Riga,56.95,0,713016
